Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client   1,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client   2,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client   3,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Client   4,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,100
Client   5,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,100
Client   6,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,100
Client   7,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,100
Client   8,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
Client   9,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  10,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,100
Client  11,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,100
Client  12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,100
Client  13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.500,100
Client  14,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  15,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  16,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  17,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,100
Client  18,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,100
Client  19,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  20,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,100
Client  21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,100
Client  22,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,100
Client  23,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,100
Client  24,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,100
Client  25,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  26,0.00,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,100
Client  27,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  28,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  29,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  30,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,100
Client  31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,100
Client  32,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,100
Client  33,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  34,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  35,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  36,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  37,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  38,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,100
Client  39,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  40,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,100
Client  41,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,0.00,100
Client  42,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,100
Client  43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,100
Client  44,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,100
Client  45,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,100
Client  46,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,100
Client  47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,100
Client  48,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,100
Client  49,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  50,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,100
Client  51,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,100
